EmployeeNumber,MonthlyIncome,JobSatisfaction,EnvironmentSatisfaction,PerformanceRating,TotalWorkingYears,YearsAtCompany,OverTime,PercentSalaryHike,RelationshipSatisfaction,WorkLifeBalance
1,5993,4,2,3,8,6,Yes,11,1,1
2,5130,2,3,4,10,10,No,23,4,3
4,2090,3,4,3,7,0,Yes,15,2,3
5,2909,3,4,3,8,8,Yes,11,3,3
7,3468,2,1,3,6,2,No,12,4,3
8,3068,4,4,3,8,7,No,13,3,2
10,2670,1,3,4,12,1,Yes,20,1,2
11,2693,3,4,4,1,1,No,22,2,3
12,9526,3,4,4,10,9,No,21,2,3
13,5237,3,3,3,17,7,No,13,2,2
14,2426,2,1,3,6,5,No,13,3,3
15,4193,3,4,3,10,9,Yes,12,4,3
16,2911,3,1,3,5,5,No,17,4,2
18,2661,4,2,3,3,2,No,11,3,3
19,2028,3,3,3,6,4,Yes,14,2,3
20,9980,1,2,3,10,10,No,11,3,3
21,3298,2,1,3,7,6,Yes,12,4,2
22,2935,4,4,3,1,1,Yes,13,2,2
23,15427,4,1,3,31,25,No,16,3,3
24,3944,4,4,3,6,3,Yes,11,3,3
26,4011,3,1,3,5,4,No,18,4,2
27,3407,1,3,4,10,5,No,23,2,3
28,11994,2,1,3,13,12,No,11,3,3
30,1232,4,3,3,0,0,No,14,4,3
31,2960,1,2,3,8,4,No,11,3,3
32,19094,3,3,3,26,14,No,11,4,2
33,3919,1,2,4,10,10,Yes,22,2,3
35,6825,2,3,3,10,9,No,11,4,3
36,10248,4,1,3,24,22,No,14,4,3
38,18947,1,2,3,22,2,No,12,4,2
39,2496,4,3,3,7,1,No,11,4,3
40,6465,4,4,3,9,4,Yes,13,4,4
41,2206,3,4,3,10,10,No,13,1,3
42,2086,4,4,3,19,1,No,14,3,4
45,2293,4,2,3,6,2,Yes,16,1,2
46,2645,3,4,3,6,5,No,12,4,2
47,2683,3,1,3,3,3,Yes,14,3,3
49,2014,4,4,3,2,2,No,13,1,3
51,3419,1,2,3,6,1,Yes,14,4,4
52,5376,1,3,3,10,5,No,19,1,3
